time,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,count,mean,std,min,25%,50%,75%,max,range,range_std,coef_var,entropy,skew,kurtosis,shapiro_stat,shapiro_pvalue,shapiro_normality,count,mean,std,min,25%,50%,75%,max,range,range_std,coef_var,entropy,skew,kurtosis,shapiro_stat,shapiro_pvalue,shapiro_normality,count,mean,std,min,25%,50%,75%,max,range,range_std,coef_var,entropy,skew,kurtosis,shapiro_stat,shapiro_pvalue,shapiro_normality,count,mean,std,min,25%,50%,75%,max,range,range_std,coef_var,entropy,skew,kurtosis,shapiro_stat,shapiro_pvalue,shapiro_normality,count,mean,std,min,25%,50%,75%,max,range,range_std,coef_var,entropy,skew,kurtosis,shapiro_stat,shapiro_pvalue,shapiro_normality
readgrp,97.0,2.0721649484536084,0.7534285893004444,1.0,2.0,2.0,3.0,3.0,2.0,2.654531601803155,0.3635948913539458,1.0709834717971671,-0.12022225983194867,-1.2141001771730116,0.8069374026697279,6.168135974510187e-10,False,97.0,2.0721649484536084,0.7534285893004444,1.0,2.0,2.0,3.0,3.0,2.0,2.654531601803155,0.3635948913539458,1.0709834717971671,-0.12022225983194867,-1.2141001771730116,0.8069374026697279,6.168135974510187e-10,False,97.0,2.0721649484536084,0.7534285893004444,1.0,2.0,2.0,3.0,3.0,2.0,2.654531601803155,0.3635948913539458,1.0709834717971671,-0.12022225983194867,-1.2141001771730116,0.8069374026697279,6.168135974510187e-10,False,97.0,2.0721649484536084,0.7534285893004444,1.0,2.0,2.0,3.0,3.0,2.0,2.654531601803155,0.3635948913539458,1.0709834717971671,-0.12022225983194867,-1.2141001771730116,0.8069374026697279,6.168135974510187e-10,False,97.0,2.0721649484536084,0.7534285893004444,1.0,2.0,2.0,3.0,3.0,2.0,2.654531601803155,0.3635948913539458,1.0709834717971671,-0.12022225983194867,-1.2141001771730116,0.8069374026697279,6.168135974510187e-10,False
sex,97.0,0.4536082474226804,0.5004293689069466,0.0,0.0,0.0,1.0,1.0,1.0,1.9982839979680473,1.1032192905448595,0.6928294725501609,0.18931111559697314,-2.00595982858866,0.6332669532457068,3.270080663369904e-14,False,97.0,0.4536082474226804,0.5004293689069466,0.0,0.0,0.0,1.0,1.0,1.0,1.9982839979680473,1.1032192905448595,0.6928294725501609,0.18931111559697314,-2.00595982858866,0.6332669532457068,3.270080663369904e-14,False,97.0,0.4536082474226804,0.5004293689069466,0.0,0.0,0.0,1.0,1.0,1.0,1.9982839979680473,1.1032192905448595,0.6928294725501609,0.18931111559697314,-2.00595982858866,0.6332669532457068,3.270080663369904e-14,False,97.0,0.4536082474226804,0.5004293689069466,0.0,0.0,0.0,1.0,1.0,1.0,1.9982839979680473,1.1032192905448595,0.6928294725501609,0.18931111559697314,-2.00595982858866,0.6332669532457068,3.270080663369904e-14,False,97.0,0.4536082474226804,0.5004293689069466,0.0,0.0,0.0,1.0,1.0,1.0,1.9982839979680473,1.1032192905448595,0.6928294725501609,0.18931111559697314,-2.00595982858866,0.6332669532457068,3.270080663369904e-14,False
age,97.0,89.89690721649484,18.52671749577849,55.0,75.0,90.0,102.0,150.0,95.0,5.127729724472063,0.20608848590487544,1.3981205206724936,0.32572606980947527,0.06150790332716927,0.9836116179105433,0.2697863274224576,True,88.0,100.92045454545455,19.40507197053951,62.0,86.0,102.0,113.5,163.0,101.0,5.204824808345813,0.19228086177316484,1.3962882134883903,0.2756365361274408,0.1618041725323911,0.9852720926273331,0.42196667555610984,True,78.0,111.08974358974359,18.536160446253263,74.0,98.0,111.5,123.0,176.0,102.0,5.502757720281677,0.16685753200320305,1.3762780483156336,0.3434060669141778,0.9418490053444524,0.9744208100330385,0.11777255017858163,True,61.0,120.70491803278688,17.90469609003467,86.0,107.0,121.0,136.0,164.0,78.0,4.356398992072977,0.14833443725276585,1.3669303158789377,-0.10974792096369436,-0.7489735918605716,0.9670753137139209,0.09950701207441161,True,17.0,137.47058823529412,15.277097429890041,110.0,127.0,137.0,145.0,173.0,63.0,4.123820005018679,0.1111299342354004,1.4022954025031085,0.3597844429840008,0.5596805740003234,0.976245501523782,0.9154250248419155,True
basmat,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,78.0,6.5256410256410255,4.66744558458353,0.0,2.0,5.5,10.75,19.0,19.0,4.070749118694941,0.7152470640422698,1.3036731724397561,0.6882562976499838,-0.37273675211041635,0.9194041764584401,0.00010896488022247439,False,61.0,9.131147540983607,6.388728120254885,0.0,4.0,9.0,13.0,22.0,22.0,3.4435649140007993,0.699663223223605,1.3500922433619484,0.4443580652225328,-0.7474431762549028,0.9411476687361557,0.005582752838825379,False,17.0,2.9411764705882355,1.9193289268418179,1.0,2.0,2.0,4.0,8.0,7.0,3.6471080605856505,0.6525718351262181,1.2947252265313844,1.1761845499065784,1.4257418439425695,0.8480765592111195,0.010025199832661869,False
bassim,93.0,6.602150537634409,4.032853625957239,0.0,4.0,7.0,9.0,15.0,15.0,3.719450639976946,0.6108393928567154,1.3222425438631034,-0.19565755405865468,-0.8249258714848047,0.9431654870190458,0.0005146586043165838,False,87.0,7.67816091954023,4.631776626521387,0.0,5.0,8.0,11.0,17.0,17.0,3.6702978944750075,0.603240369022995,1.3046564222723123,-0.3458723709556877,-0.7471010985450843,0.930362434031348,0.00016161294697977652,False,78.0,8.615384615384615,4.704876633437283,0.0,7.0,9.0,12.0,17.0,17.0,3.613272211896481,0.5461017520953989,1.3290619626236588,-0.46340336752935396,-0.526815746899278,0.9377989694421326,0.0008727854382456158,False,61.0,9.868852459016393,4.920959966768224,0.0,7.0,11.0,14.0,18.0,18.0,3.657822888533122,0.4986354783602353,1.324620859652159,-0.6481406205474691,-0.45650817639766483,0.9293039033802732,0.0016780999693599944,False,17.0,4.823529411764706,3.1865987768631747,0.0,1.0,6.0,7.0,9.0,9.0,2.824327952846145,0.660636331788707,1.2623454392750237,-0.5535946382431229,-1.259963324693466,0.8614935331722078,0.01613599397167644,False
basdig,94.0,14.393617021276595,6.199580431704192,0.0,9.25,15.0,19.0,33.0,33.0,5.32294086084285,0.43071733967494014,1.3519728307104295,-0.13618310497497876,-0.266966778480044,0.9680026282079803,0.0209829848998123,False,88.0,15.715909090909092,6.773764235834831,0.0,9.75,17.5,20.25,28.0,28.0,4.133595298737046,0.43101319794176796,1.3339726163769396,-0.4783537537671257,-0.631475178380164,0.9510424197496421,0.0022354344503738655,False,78.0,16.23076923076923,6.703213179742006,2.0,10.25,18.0,21.0,33.0,31.0,4.624647787375476,0.4129941769509293,1.3487674040332147,-0.2688022513065889,-0.580450868123005,0.9619677294388914,0.019984402649514454,False,61.0,17.16393442622951,6.899710930826142,3.0,12.0,18.0,23.0,34.0,31.0,4.492941850867974,0.4019888889975116,1.373324122336135,-0.1484131565558831,-0.6512887525400934,0.9689847333403995,0.12394936190265426,True,17.0,9.294117647058824,3.0365421510814103,5.0,7.0,9.0,10.0,16.0,11.0,3.622541513570805,0.32671656055939224,1.3945099058685442,0.6081688877140248,0.16643784319432653,0.9506770466047839,0.4673167239421745,True
basnum,91.0,26.78021978021978,13.915460784323631,0.0,16.0,27.0,38.0,54.0,54.0,3.8805757737345887,0.5196171240760978,1.3826354947207509,-0.05120222031827321,-0.9941078695430656,0.972551439519772,0.051296430716797084,True,87.0,31.528735632183906,15.136463812756213,0.0,17.5,34.0,44.0,54.0,54.0,3.567543956633494,0.4800847071490305,1.3359267969158881,-0.4186481334653549,-0.9521601093718464,0.9437790498573243,0.0008896066303779522,False,77.0,34.48051948051948,15.508580298805043,2.0,19.0,36.0,49.0,59.0,57.0,3.6753847806682813,0.44977803503125735,1.3028438856694737,-0.4534746407290656,-1.0272713784531127,0.9268930905209216,0.0002718314841271728,False,60.0,37.516666666666666,17.113273336617553,3.0,20.75,44.0,52.25,60.0,57.0,3.33074794510739,0.45615122176679396,1.294782493482614,-0.4733352147485098,-1.0939372210511698,0.915561618691035,0.0005106391618090837,False,0.0,,,,,,,,,,,,,,,,
basread,96.0,27.6875,24.697032636586762,0.0,7.0,18.0,49.0,84.0,84.0,3.4012183259441637,0.8919921494026821,1.2569015208533536,0.7556843042648548,-0.6062440270948732,0.8932598598796033,1.0604318961160538e-06,False,88.0,38.80681818181818,26.249404133158386,0.0,15.0,32.0,59.5,85.0,85.0,3.2381687435193074,0.6764121709276539,1.3139975656949394,0.24995099107483518,-1.2513200115416885,0.9313530865837069,0.00016695448839882697,False,78.0,45.756410256410255,26.228855873882118,0.0,22.25,47.5,72.5,87.0,87.0,3.316957492096783,0.5732280073305702,1.3164331170470003,-0.06397742677863745,-1.355321041302318,0.9334733428458563,0.0005236173254976692,False,61.0,55.65573770491803,25.026576038218273,8.0,37.0,64.0,79.0,87.0,79.0,3.1566443559581825,0.44966749288109414,1.28288471504434,-0.44489576962922445,-1.1894218392525617,0.9029345644536538,0.000149017122079196,False,17.0,38.88235294117647,22.09887540391246,5.0,23.0,43.0,61.0,69.0,64.0,2.896074973510608,0.568352317498505,1.3575333002949965,-0.16164391316661092,-1.4603773335136905,0.9201930741483598,0.14878924776225666,True
