subject_id,group,area,gender,progread12,progread23,progread13,progread34,progread14,readres2,readres3,readres4,readres34,age1,age2,age3,age4,aptgram1,aptgram2,aptgram3,aptgram4,aptinfo1,aptinfo2,aptinfo3,aptinfo4,blocks1,b1extau1,b1extau2,b1extau3,b1extau4,b1exto1,b1exto2,b1exto3,b1exto4,b1exnt1,b1exnt2,b1exnt3,b1exnt4,b1retau1,b1retau2,b1retau3,b1retau4,b1reto1,b1reto2,b1reto3,b1reto4,b1rent1,b1rent2,b1rent3,b1rent4,b2extau2,b2extau3,b2extau4,b2exto2,b2exto3,b2exto4,b2exnt2,b2exnt3,b2exnt4,b2retau2,b2retau3,b2retau4,b2reto2,b2reto3,b2reto4,b2rent2,b2rent3,b2rent4,celf1,celf2,celf3,celf4,deap1,deap2,eowpvt1,eowpvt2,eowpvt3,eowpvt4,erbnw1,erbnw2,erbnw3,erbnw4,erbto1,erbto2,erbto3,erbto4,erbword1,erbword2,erbword3,erbword4,lsammax1,lsammax2,lsammlu1,lsammlu2,lsamint1,lsamint2,lsamun1,lsamun2,lsamto1,lsamto2,nonword1,nonword2,nonword3,nonword4,blending1,blending2,blending3,blending4,rowpvt1,rowpvt2,rowpvt3,rowpvt4,spphon1,spphon2,spraw1,spraw2,spraw3,spraw4,spphon3,spphon4,trog1,trog2,trog3,trog4,yarcewr1,yarcewr2,yarcewr3,yarcewr4,yarclet1,yarclet2,yarclet3,yarclet4,yarcsi1,yarcsi2,yarcsi3,yarcsi4,deappin1,deappvo1,deappfi1,deappav1,deappin2,deappvo2,deappfi2,deappav2,deappin3,deappvo3,deappfi3,deappav3,deappin4,deappvo4,deappfi4,deappav4,ewrswr1,ewrswr2,ewrswr3,ewrswr4,ewrswr4new,tascore1,tascore2,tachang1,tachang2,behav1,behav2,behav3,behav4,attend1,attend2,attend3,attendto,attendall,sdq,agespeak,vision,hearing,earinf,numchil,mumocc,dadocc,agebooks,@_merge,trogz,rowpvt1z,reclangz,booklevel_t1,booklevel_t4,words_t1,words_t4,b2extau1,b2exto1,b2exnt1,b2retau1,b2reto1,b2rent1,hearing_c,mumedupost16,dadedupost16,bedtimeread,othertimeread
ID_6F411EF0CCD681C0,2,2,1,3,1,4,6,10,0.01766413077712059,-2.698340892791748,0.26662243183950807,3.0731119991802407,86,93,102,108,3,8,11,7,19.0,24.0,34.5,34.5,15,5,8,18,17,12,15,26,27,7,7,8,10,10,17,19,18,18,27,28,29,8,10,9,11,8,7,8,13,11,13,5,4,5,18,19,18,23,28,26,5,9,8,10,11,16,15,,,27,37,44,50,4,6,12,7,11,15,21,18,7,9,9,11,4,6,1.95,2.18,94.38,95.08,41,59,80,111,0,0,0,2,5,3,7,8,31,41,45,50,0,0,0,0,0,0,9,43,16,18,21,23,0,3,4,10,4,8,19,25,0,0,3,2,70.0,96.08,38.6,68.23,69.7,100.0,43.33,71.01,72.7,100.0,55.5,70.1,69.69,100.0,47.6,72.43,0,3,4,10,10,,1.0,0,1,1.08,2.0,1.5,1.42,,80,72,80,152,17,,,,,,,,,3,0.8582140207290649,-0.3270355761051178,0.26558923721313477,-1,5,7,35,,,,,,,,,,,
ID_E1FE4CF9745A1654,2,2,1,4,8,12,-2,10,-1.3032608032226562,-0.6673576831817627,-4.246244522951279,-4.881698944563988,85,92,100,107,8,14,19,18,17.0,19.0,26.0,29.5,3,10,11,15,16,16,18,24,25,6,7,9,9,11,15,18,16,19,25,28,27,8,10,10,11,8,11,8,9,15,12,1,4,4,11,14,18,14,23,28,3,9,10,12,4,12,12,,,29,32,36,43,16,16,16,16,32,34,34,34,16,18,18,18,5,5,2.5,2.91,100.0,81.58,47,40,65,64,2,3,6,5,4,4,7,10,40,50,51,61,52,72,0,2,3,5,79,83,10,14,15,11,28,29,30,30,30,25,24,32,5,0,6,5,80.03,96.3,80.95,85.85,80.3,98.15,74.6,84.35,81.8,100.0,74.6,85.5,81.0,98.2,63.3,80.83,34,38,46,44,44,,1.0,0,1,1.08,1.58,1.17,1.17,,81,31,81,112,8,18,1,0,0,4,10,1,6,3,-0.5825183391571045,0.3379823863506317,-0.12226797640323639,15,21,,,,,,,,,0,1.0,1.0,7.0,7.0
ID_05DDA8A80C8C46DE,2,2,2,1,12,13,2,15,-3.14279842376709,3.317150592803955,3.0101889544441147,-0.898913823137615,62,68,77,83,5,8,18,28,10.0,18.0,27.5,29.5,10,8,10,13,13,14,16,21,22,6,6,8,9,12,15,18,18,20,24,29,29,8,9,11,11,13,12,11,16,17,14,3,5,3,19,17,21,26,26,33,7,9,12,6,13,14,15,,,28,40,43,37,11,16,16,17,26,32,34,35,15,16,18,18,5,10,3.13,2.77,86.74,96.03,52,59,141,119,0,3,1,2,8,6,9,9,45,41,43,52,21,27,0,0,1,3,66,82,17,15,19,19,17,18,26,26,24,27,29,29,6,8,9,9,73.02,92.59,76.67,80.76,76.19,100.0,77.19,84.46,84.8,100.0,80.9,88.6,90.1,100.0,87.3,92.46,17,18,30,32,32,,1.0,0,0,1.08,1.0,1.0,1.08,,86,79,86,165,9,,,,,,,,,3,1.098336100578308,0.7074368000030518,0.9028864502906799,5,19,100,200,,,,,,,,,,,
ID_8955389929EB2CF4,2,2,2,2,4,6,9,15,-0.9823358654975891,-0.6983409523963928,5.266622431839508,6.075263859001944,65,72,80,86,8,4,14,10,14.0,23.0,31.0,34.0,16,3,12,14,14,9,22,25,25,6,10,11,11,15,17,21,20,24,28,32,29,9,11,11,9,7,9,11,11,16,18,4,7,7,19,18,21,29,27,32,10,9,11,12,15,15,15,,,31,37,44,51,7,10,14,9,20,23,30,18,13,13,16,9,4,4,2.27,1.66,79.37,70.93,23,33,50,58,2,0,1,1,7,6,8,6,35,42,56,48,0,0,0,0,0,1,0,37,8,12,22,27,0,2,6,15,10,19,19,18,0,0,0,0,65.0,100.0,75.93,80.31,60.61,100.0,68.25,76.29,74.6,100.0,76.7,83.8,78.8,100.0,73.3,84.0,0,2,6,15,15,,1.0,0,0,1.33,1.75,1.0,1.33,,92,78,92,170,5,42,1,1,0,4,1,9,2,3,-1.0627623796463013,-0.031472042202949524,-0.5471172332763672,-2,4,12,150,,,,,,,1,6.0,0.0,7.0,7.0
ID_E49DB0BA5DA93E23,2,2,2,0,7,7,10,17,-4.14279842376709,-2.682849407196045,5.010188954444114,7.094630597397275,120,126,135,141,4,3,8,8,15.5,16.5,24.0,23.0,14,11,10,14,14,20,20,24,25,9,10,10,11,13,17,18,18,24,28,28,30,11,11,10,12,6,8,7,11,16,14,5,8,7,14,18,17,22,25,26,8,7,9,5,11,13,13,,,33,52,49,55,1,,,,8,,,,7,15,,,5,8,3.16,2.89,97.64,98.82,54,73,120,162,0,0,1,0,3,4,5,5,48,49,54,47,54,47,0,0,2,1,54,49,12,10,17,17,17,17,24,26,20,22,20,17,5,0,7,5,79.63,96.3,83.33,86.42,71.67,96.3,72.73,80.23,76.2,100.0,61.7,79.3,75.8,96.3,76.6,82.9,17,17,24,34,34,,1.0,0,0,1.25,1.33,1.67,1.33,,84,76,84,160,8,,,1,0,3,7,1,36,3,-0.10227420926094055,0.9291094541549683,0.41341763734817505,5,18,,,,,,,,,1,2.0,0.0,3.0,
ID_E3F54657925A3EF5,2,2,1,3,6,9,0,9,0.01766413077712059,2.301659107208252,-0.7333775681604919,-2.921508351265501,79,86,95,100,4,9,11,10,10.5,22.0,22.5,23.5,20,10,10,16,15,17,17,25,25,7,7,9,10,14,17,18,20,23,26,26,29,9,9,8,9,9,10,19,15,14,25,6,4,6,22,21,23,30,30,34,8,9,11,16,13,17,17,,,40,33,48,43,2,6,6,10,10,12,14,21,8,6,8,11,4,5,1.86,2.0,72.97,73.77,17,25,26,46,0,0,1,3,4,5,7,8,47,57,51,54,0,0,0,0,0,1,42,57,16,16,14,20,0,3,9,9,14,22,21,24,0,0,5,8,57.14,84.31,24.56,55.34,55.0,90.2,28.57,57.92,56.7,88.9,47.1,64.2,63.6,94.7,35.0,64.4,0,3,9,9,9,,1.0,0,0,1.08,1.33,1.33,1.17,,92,94,92,186,5,,1,0,0,2,6,5,2,3,0.8582140207290649,0.8552185893058777,0.8567162752151489,-2,6,12,86,,,,,,,0,0.0,0.0,7.0,7.0
ID_592772BD2BB05C8A,2,2,1,2,1,3,3,6,-0.9823358654975891,-3.698340892791748,-3.733377568160492,0.07203606926938899,66,73,82,87,0,1,5,7,11.0,10.0,23.5,20.5,14,5,5,9,13,10,11,15,22,5,6,6,9,9,9,13,18,14,15,21,28,5,6,8,10,7,11,14,10,14,21,3,3,7,11,12,21,18,18,31,7,6,10,7,9,13,10,,,21,26,44,38,5,6,8,8,11,17,20,22,6,11,12,14,5,8,2.39,3.13,81.67,83.61,40,43,86,188,0,0,0,1,0,3,1,2,19,20,48,30,0,0,0,0,0,0,0,0,12,11,9,15,0,2,3,6,3,6,17,23,0,0,0,0,58.73,94.44,60.0,71.06,58.73,100.0,38.33,65.69,65.2,100.0,47.6,70.9,68.1,100.0,55.5,74.53,0,2,3,6,6,,1.0,0,0,1.25,1.67,1.33,1.58,,74,81,74,155,11,,1,1,0,3,4,2,12,3,-0.10227420926094055,-1.2137261629104614,-0.6580001711845398,-2,9,10,50,,,,,,,1,0.0,3.0,7.0,7.0
ID_5D8F2FB716A194DF,2,2,1,-1,6,5,5,10,-4.255385875701904,-2.400578260421753,-0.26430309225352566,2.078491648734499,93,100,109,114,4,2,8,12,18.5,18.0,21.5,24.0,24,8,10,14,14,16,19,23,23,8,9,9,9,15,15,21,21,24,24,31,32,9,9,10,11,10,15,13,15,21,20,5,6,7,19,23,21,30,35,32,11,12,11,15,16,17,18,,,59,50,42,70,5,8,8,11,12,16,17,25,7,8,9,14,7,4,2.29,1.95,100.0,72.97,14,29,16,37,2,0,3,3,5,6,9,8,63,53,58,66,19,20,0,0,1,2,46,78,16,20,20,21,4,3,9,14,20,21,29,31,2,0,4,6,59.09,100.0,26.67,61.92,53.97,92.16,33.33,59.82,56.1,92.9,56.7,68.6,63.5,96.3,56.6,72.13,4,3,9,14,14,,2.0,0,0,1.58,1.08,1.17,1.0,,88,76,88,164,5,,0,0,0,3,2,1,18,3,0.8582140207290649,2.037472724914551,1.447843313217163,,,,,,,,,,,0,5.0,2.0,5.0,2.0
ID_95CEDE14815D8486,2,2,1,0,2,2,4,6,-3.118860960006714,-5.049459457397461,-3.998840330207009,1.0731119991802407,72,79,88,93,0,0,4,3,0.0,3.5,9.0,14.5,17,2,2,3,4,6,5,8,8,4,3,5,4,11,7,16,18,16,11,24,28,5,4,8,10,1,2,4,2,2,6,1,0,2,7,16,11,11,22,15,4,6,4,8,9,12,13,,,27,14,24,27,1,,4,,1,,9,,0,,5,,1,2,1.0,1.13,100.0,100.0,2,2,7,9,0,0,0,0,3,3,3,6,32,28,34,50,0,0,0,0,0,0,0,0,11,7,12,13,2,2,4,8,13,17,17,19,0,0,0,0,25.93,80.56,37.04,47.84,,,,,31.7,68.8,40.7,47.1,29.8,68.8,64.7,54.43,2,2,4,8,8,,2.0,0,1,1.75,1.67,1.67,1.42,,84,72,84,156,16,34,0,1,0,2,1,2,8,3,-0.34239625930786133,-0.25314468145370483,-0.2977704703807831,,,,,,,,,,,1,6.0,9.0,7.0,5.0
ID_3EAE937C514F6BF9,2,2,2,1,-1,0,1,1,-2.1871232986450195,-7.2250189781188965,-9.131571711230267,-1.927963930730611,68,74,83,88,1,3,2,2,4.0,11.0,13.0,9.5,16,4,4,3,9,9,9,9,17,5,5,6,8,7,10,11,13,13,16,16,21,6,6,5,8,5,12,15,9,16,20,4,4,5,12,22,22,19,30,32,7,8,10,1,4,8,6,,,19,24,28,27,6,1,9,6,12,8,17,15,6,7,8,9,4,4,1.94,1.55,59.15,45.95,20,24,33,31,0,0,0,0,3,2,3,2,25,33,36,23,0,0,0,0,,0,0,0,10,10,7,15,3,4,3,4,16,11,16,16,0,0,0,0,,,,,45.0,84.31,27.78,67.36,54.5,98.2,30.2,60.9,63.63,92.9,49.2,68.56,3,4,3,4,4,,3.0,0,0,1.18,1.67,1.5,1.25,,86,83,86,169,,24,0,0,0,2,3,2,7,3,-0.5825183391571045,-0.7703809142112732,-0.6764496564865112,-2,2,19,54,,,,,,,0,2.0,2.0,6.0,3.0
